ciiu,descripcion_ciiu
0111,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas (cultivo de soya)"
0112,Cultivo de arroz 
0113,"Cultivo de hortalizas y melones, raíces y tubérculos (cultivo de jitomate o tomate rojo)"
0128,"Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas (cultivo de chile)"
0119,Cultivo de otros productos agrícolas no perennes (cultivo de maíz tierno)
0123,Cultivo de cítricos (cultivo de naranja)
0127,Cultivo de plantas con las que se preparan bebidas (cultivo de café)
0122,Cultivo de frutas tropicales y subtropicales (cultivo de plátano)
0121,Cultivo de uva 
0124,Cultivo de frutas de pepita y de hueso (cultivo de manzana)
0126,Cultivo de frutos oleaginosos (cultivo de coco)
0125,"Cultivo de otros frutos y nueces de árboles y arbustos (cultivo de mora, fresa, kiwi, nueces, piñón, avellana, y otros frutales no cítricos n.c.p.*)"
0130,Propagación de plantas (producción de plántulas y plantitas de hortalizas en almácigos en invernaderos y otras estructuras agrícolas protegidas)
0129,Cultivo de otras plantas perennes (cultivo de árboles de ciclo productivo de 10 años o menos)
0115,Cultivo de tabaco 
0116,Cultivo de plantas para fibras textiles (cultivo de algodón)
0114,Cultivo de caña de azúcar 
0150,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta) (actividades agrícolas combinadas con explotación de animales)
0164,Tratamiento de semillas para propagación 
0230,Recolección de productos forestales distintos de la madera (recolección de savia de maple)
0141,Cría de ganado bovino y búfalos (explotación de bovinos para la producción de carne)
0145,Cría de cerdos (explotación de porcinos en granja)
0146,Cría de aves de corral (explotación de gallinas para la producción de huevo fértil)
0149,"Cría de otros animales (explotación de avestruces, codornices, faisanes, palomas y emúes, y otras aves para la producción de carne y huevo n.c.p.*)"
0144,Cría de ovejas y cabras (explotación de ovinos)
0321,Acuicultura marina (camaronicultura en alta mar)
0322,Acuicultura de agua dulce (camaronicultura en agua dulce)
0142,Cría de caballos y otros équidos 
0143,Cría de camellos y otros camélidos 
0210,Silvicultura y otras actividades forestales (silvicultura)
0220,Tala de árboles (recolección de leña)
1610,"Aserrado y acepilladura de madera (producción de trozas, astillas y rajas de madera)"
0311,Pesca marítima (pesca de camarón en alta mar)
0312,Pesca de agua dulce (pesca de camarón en agua dulce)
0170,Caza ordinaria y mediante trampas y actividades de servicios conexas 
0161,Actividades de apoyo a la agricultura (servicios de fumigación agrícola)
0163,Actividades poscosecha (despepite de algodón)
0162,Actividades de apoyo a la ganadería 
0240,Servicios de apoyo a la silvicultura (servicios relacionados con el aprovechamiento forestal)
0610,Extracción de petróleo crudo (extracción de petróleo crudo asociado)
0620,Extracción de gas natural (extracción de gas natural asociado)
0510,Extracción de hulla 
0520,Extracción de lignito 
0710,Extracción de minerales de hierro 
0729,Extracción de otros minerales metalíferos no ferrosos (minería de oro)
0721,Extracción de minerales de uranio y torio 
0810,"Extracción de piedra de cantera, arena y arcilla (minería de piedra caliza)"
0891,Extracción de minerales para la fabricación de abonos y productos químicos (minería de marga)
0899,Explotación de otras minas y canteras n.c.p. (minería de mica)
0893,Extracción de sal (minería de sal)
0892,Extracción de turba 
0910,Actividades de apoyo para la extracción de petróleo y gas natural (perforación de pozos petroleros y de gas)
0990,"Actividades de apoyo para otras actividades de explotación de minas y canteras (exploración o prospección minera exclusiva para campos petroleros y mineros en alguna de las fases necesarias para la explotación de yacimientos mineros, petroleros y de gas, y otros servicios de apoyo a la minería n.c.p.*)"
4312,Preparación del terreno (remoción de minerales en escombreras y preparación de terreno para la minería)
3510,"Generación, transmisión y distribución de energía eléctrica (generación de electricidad a partir de combustibles fósiles)"
3520,Fabricación de gas; distribución de combustibles gaseosos por tuberías 
3530,"Suministro de vapor y de aire acondicionado (producción, captación y distribución de vapor por ductos)"
3600,"Captación, tratamiento y distribución de agua (captación, tratamiento y suministro de agua realizados por el sector privado)"
3700,Evacuación de aguas residuales (servicio de alcantarillado y tratamiento de aguas residuales realizado por el sector privado)
4930,Transporte por tuberías (suministro de agua en pipas realizado por el sector privado)
4100,Construcción de edificios (edificación de vivienda unifamiliar)
7110,Actividades de arquitectura e ingeniería y actividades conexas de consultoría técnica (supervisión de edificación residencial)
4290,Construcción de otras obras de ingeniería civil (construcción de plantas químicas)
4390,Otras actividades especializadas de construcción (construcción de hornos industriales)
4220,"Construcción de proyectos de servicio público (construcción de obras para el tratamiento, distribución y suministro de agua y drenaje)"
4321,Instalaciones eléctricas (instalación de señalamientos y protecciones en obras viales)
4210,"Construcción de carreteras y vías de ferrocarril (construcción de carreteras, puentes y similares)"
4330,Terminación y acabado de edificios (trabajos de albañilería)
4322,"Instalaciones de fontanería, calefacción y aire acondicionado (instalaciones hidrosanitarias y de gas)"
3320,Instalación de maquinaria y equipo industriales (instalación de calderas industriales)
4329,Otras instalaciones para obras de construcción (instalación de equipos para sistemas de aire acondicionado y de calefacción)
8129,Otras actividades de limpieza de edificios y de instalaciones industriales (mantenimiento de calderas de sistemas de aire acondicionado)
4311,Demolición 
1080,Elaboración de alimentos preparados para animales 
1061,Elaboración de productos de molienda (beneficio del arroz)
1030,"Elaboración y conservación de frutas, legumbres y hortalizas (elaboración de harina de papa)"
1103,Elaboración de malta y licores de malta (elaboración de malta)
1062,Elaboración de almidones y productos derivados del almidón (elaboración de féculas y otros almidones y sus derivados)
1040,Elaboración de aceites y grasas de origen vegetal y animal (elaboración de aceites y grasas de origen vegetal excepto aceite de maíz)
1072,Elaboración de azúcar (elaboración de azúcar de caña)
1073,"Elaboración de cacao y chocolate y de productos de confitería (elaboración de chicles, bombones, chiclosos, caramelos macizos, fruta cristalizada, confitada y glaseada)"
1010,Elaboración y conservación de carne (elaboración de carnes congeladas preparadas)
1074,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares (elaboración de pastas congeladas)"
1075,Elaboración de comidas y platos preparados (elaboración de guisos congelados)
1079,Elaboración de otros productos alimenticios n.c.p. (elaboración de sopas congeladas)
1050,Elaboración de productos lácteos (elaboración de leche líquida)
1020,"Elaboración y conservación de pescado, crustáceos y moluscos "
1071,Elaboración de productos de panadería (panificación industrial)
1104,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas (elaboración de refrescos y otras bebidas no alcohólicas)
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas (elaboración de bebidas alcohólicas a base de uva)"
1102,Elaboración de vinos (elaboración de pulque)
2011,Fabricación de sustancias químicas básicas (obtención de alcohol etílico potable)
1200,Elaboración de productos de tabaco (beneficio del tabaco)
1311,"Preparación e hilatura de fibras textiles (preparación e hilado de fibras duras naturales, como henequén, ixtle y palma)"
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (tejido de tapetes, petates, cestos, canastos, sombreros, bolsos de mano, cuerdas, costales y artículos decorativos de palma y de fibras duras similares preparadas compradas)"
1312,Tejedura de productos textiles 
1399,Fabricación de otros productos textiles n.c.p. (fabricación de telas angostas de tejido de trama y pasamanería)
1391,Fabricación de tejidos de punto y ganchillo 
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (tejido de manteles, colchas y carpetas de tejido de punto)"
1313,Acabado de productos textiles (acabado de productos textiles)
2219,Fabricación de otros productos de caucho (fabricación de telas recubiertas con hule)
1393,Fabricación de tapices y alfombras (fabricación de alfombras y tapetes)
2220,Fabricación de productos de plástico (confección de cortinas de plástico)
1394,"Fabricación de cuerdas, cordeles, bramantes y redes "
1410,"Fabricación de prendas de vestir, excepto prendas de piel (fabricación de pañales de tela)"
1430,Fabricación de artículos de punto y ganchillo (fabricación de calcetines y medias de tejido de punto)
1420,Fabricación de artículos de piel (confección de prendas de vestir de piel)
1511,Curtido y adobo de cueros; adobo y teñido de pieles 
1520,Fabricación de calzado (fabricación de calzado con corte de piel y cuero)
1512,"Fabricación de maletas, bolsos de mano y artículos similares, y de artículos de talabartería y guarnicionería (fabricación de bolsos de mano, maletas y similares)"
1621,Fabricación de hojas de madera para enchapado y tableros a base de madera (fabricación de laminados y aglutinados de madera en aserraderos integrados)
1622,Fabricación de partes y piezas de carpintería para edificios y construcciones (fabricación de productos de madera para la construcción en aserraderos integrados)
1623,Fabricación de recipientes de madera (fabricación de contenedores de madera en aserraderos integrados)
1701,"Fabricación de pasta de madera, papel y cartón (fabricación de pulpa)"
1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón (fabricación de envases de papel en plantas integradas)
1709,Fabricación de otros artículos de papel y cartón (fabricación de productos de papel en plantas integradas)
2399,Fabricación de otros productos minerales no metálicos n.c.p. (fabricación de papel alquitranado)
2420,Fabricación de metales preciosos básicos y de otros metales no ferrosos (fabricación de papel metalizado)
2599,Fabricación de otros productos elaborados de metal n.c.p. (fabricación de bolsas de papel aluminizado)
1811,"Impresión (impresión de libros, periódicos y revistas)"
8219,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina (impresión rápida combinada con servicios de fotocopiado, engargolado y enmicado)"
1812,Actividades de servicios relacionadas con la impresión 
1920,Fabricación de productos de la refinación del petróleo (refinación de petróleo)
1910,"Fabricación de productos de hornos de coque (fabricación de coque, briquetas de carbón y de otros productos derivados del petróleo refinado y del carbón mineral n.c.p.*)"
2012,Fabricación de abonos y compuestos de nitrógeno (fabricación de cloruro amónico)
2022,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas (fabricación de pigmentos naturales para pieles)"
2029,Fabricación de otros productos químicos n.c.p. (fabricación de materiales sintéticos para perfumes y cosméticos)
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico (fabricación de ácido salicílico no medicinal)"
2013,Fabricación de plásticos y caucho sintético en formas primarias (fabricación de resinas sintéticas)
2030,Fabricación de fibras artificiales 
2021,"Fabricación de plaguicidas y otros productos químicos de uso agropecuario (fabricación de pesticidas y otros agroquímicos, excepto fertilizantes)"
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador (fabricación de jabones, detergentes, suavizantes de telas, ceras, aromatizantes de ambiente, limpiadores dentífricos y pulidores)"
2817,Fabricación de maquinaria y equipo de oficina [excepto ordenadores (computadoras) y equipo periférico] (fabricación y remanufactura de cartuchos de tóner)
8292,Actividades de envasado y empaquetado (empacado de productos en aerosol)
3100,Fabricación de muebles (fabricación de partes para muebles de plástico sin reforzamiento)
2720,"Fabricación de pilas, baterías y acumuladores (fabricación de partes de plástico para baterías y acumuladores)"
2211,"Fabricación de llantas y tubos de hule, reconstrucción y revitalizado de llantas de hule "
2393,Fabricación de otros productos de porcelana y de cerámica 
2392,Fabricación de materiales de construcción de arcilla (fabricación de muebles de baño)
2395,"Fabricación de artículos de hormigón, cemento y yeso (fabricación de ladrillos de adobe)"
2391,Fabricación de productos refractarios 
2310,Fabricación de vidrio y productos de vidrio (fabricación de vidrio)
2394,"Fabricación de cemento, cal y yeso (fabricación de cemento)"
2396,"Corte, talla y acabado de la piedra "
3211,"Fabricación de joyas y artículos conexos (fabricación de piedras preciosas, semipreciosas y sintéticas para joyería)"
2410,Industrias básicas de hierro y acero (complejos siderúrgicos)
2431,Fundición de hierro y acero (fabricación de tubos y postes de hierro y acero)
2732,Fabricación de otros hilos y cables eléctricos (fabricación de cable de acero)
2823,Fabricación de maquinaria metalúrgica (fundición de lingoteras)
2432,Fundición de metales no ferrosos 
2591,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia (fabricación de productos forjados y estampados, y de productos mediante pulvimetalurgia)"
2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería (fabricación de herramientas de mano sin motor)"
2790,Fabricación de otros tipos de equipo eléctrico (fabricación de pistolas manuales para soldar)
2816,Fabricación de equipo de elevación y manipulación (fabricación de gatos mecánicos)
2819,Fabricación de otros tipos de maquinaria de uso general (fabricación de cintas métricas)
2821,Fabricación de maquinaria agropecuaria y forestal (fabricación de podadoras de pasto sin motor)
2511,Fabricación de productos metálicos para uso estructural (fabricación de estructuras metálicas para la construcción)
3011,Construcción de buques y estructuras flotantes (fabricación de estructuras metálicas flotantes)
2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central "
2512,"Fabricación de tanques, depósitos y recipientes de metal (fabricación de tanques metálicos de calibre grueso)"
3099,Fabricación de otros tipos de equipo de transporte n.c.p. (fabricación de carritos de alambre para supermercado)
2592,Tratamiento y revestimiento de metales; maquinado (maquinado de piezas para maquinaria y equipo en general)
2812,Fabricación de equipo de propulsión de fluidos (fabricación de válvulas hidráulicas y neumáticas)
2813,"Fabricación de otras bombas, compresores, grifos y válvulas (fabricación de grifos y válvulas industriales)"
2814,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión (fabricación de baleros y rodamientos)"
2520,Fabricación de armas y municiones 
2818,Fabricación de herramientas de mano motorizadas (fabricación de equipo con motor para la jardinería)
2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco (fabricación de secadores de productos agrícolas)"
2826,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros (fabricación de maquinaria para despepite de algodón)"
2824,"Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción (fabricación de tractores de oruga, máquinas para movimiento de tierra, bulldozers y mezcladoras de concreto)"
3020,Fabricación de locomotoras y material rodante (fabricación de carritos para la minería)
2822,Fabricación de maquinaria para la conformación de metales y de máquinas herramienta (fabricación de maquinaria y equipo para la industria de la madera)
2829,Fabricación de otros tipos de maquinaria de uso especial (fabricación de maquinaria y equipo para la industrias del hule y del plástico)
2815,"Fabricación de hornos, hogares y quemadores (fabricación de hornos para la industria del cemento)"
3250,Fabricación de instrumentos y materiales médicos y odontológicos (fabricación de equipo de destilación para laboratorio)
2670,Fabricación de instrumentos ópticos y equipo fotográfico (fabricación de aparatos fotográficos)
3030,"Fabricación de aeronaves, naves espaciales y maquinaria conexa (fabricación de simuladores de vuelo)"
3290,Otras industrias manufactureras n.c.p. (fabricación de barredoras mecánicas industriales)
2811,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas (fabricación de motores de combustión interna y de turbinas)"
2910,Fabricación de vehículos automotores (fabricación de motores diésel)
3091,Fabricación de motocicletas (fabricación de motores para motocicletas)
2710,"Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica (fabricación de transformadores para soldadura de arco)"
2651,"Fabricación de equipo de medición, prueba, navegación y control (fabricación de básculas y balanzas de laboratorio y de uso industrial)"
2620,Fabricación de ordenadores (computadoras) y equipo periférico 
2630,Fabricación de equipo de comunicaciones (fabricación de equipo telefónico)
2640,Fabricación de aparatos electrónicos de consumo (fabricación de equipo de audio y de video)
2610,Fabricación de componentes y tableros electrónicos 
2652,Fabricación de relojes (excepto fabricación de parquímetros)
2660,Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico 
1820,Reproducción de grabaciones 
2680,Fabricación de soportes magnéticos y ópticos 
2740,Fabricación de equipo eléctrico de iluminación (fabricación de focos)
2750,Fabricación de aparatos de uso doméstico (fabricación de enseres electrodomésticos menores)
2731,Fabricación de cables de fibra óptica 
2733,Fabricación de dispositivos de cableado 
2920,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques (fabricación de remolques y semirremolques para usos diversos, campers y casetas)"
2930,"Fabricación de partes, piezas y accesorios para vehículos automotores (fabricación de quinta rueda)"
3012,Construcción de embarcaciones de recreo y de deporte 
3315,"Reparación de equipo de transporte, excepto vehículos automotores (reparación y mantenimiento de embarcaciones hechos por el establecimiento fabricante)"
3092,Fabricación de bicicletas y vehículos de transporte para personas con discapacidad física (fabricación de bicicletas y triciclos)
3040,Fabricación de vehículos militares de combate 
3212,Fabricación de bisutería y artículos conexos (joyería de metales y piedras no preciosos y de otros materiales)
3230,Fabricación de artículos de deporte 
3240,Fabricación de juegos y juguetes (fabricación de mesas de billar)
3220,Fabricación de instrumentos de música 
4630,"Venta al por mayor de alimentos, bebidas y tabaco (comercio al por mayor de abarrotes)"
4620,Venta al por mayor de materias primas agropecuarias y animales vivos (comercio al por mayor de tabaco sin procesar)
4641,"Venta al por mayor de productos textiles, prendas de vestir y calzado (comercio al por mayor de fibras, hilos y telas)"
4649,Venta al por mayor de otros enseres domésticos (comercio al por mayor de productos farmacéuticos)
4652,"Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones (comercio al por mayor de cintas y videos sin grabar)"
